;Ville;Latitude;Longitude;DerniereDateTraitee;VilleReelle
0;Canberra;-35.2975906;149.1012676;;Canberra
1;Sydney;-33.8698439;151.2082848;;Sydney
2;Darwin;-12.46044;130.8410469;;Darwin
3;Melbourne;-37.8142176;144.9631608;;Melbourne
4;Brisbane;-27.4689682;153.0234991;;Brisbane
5;Adelaide;-34.9281805;138.5999312;;Adelaide
6;Perth;-31.9558964;115.8605801;;Perth
7;Hobart;-42.8825088;147.3281233;;Hobart
8;Albany;-35.0247822;117.883608;;Albany
9;MountGambier;-37.8246698;140.7820067624113;;Mount Gambier
10;Ballarat;-37.5623025;143.8605649;;Ballarat
11;Townsville;-19.2569391;146.8239537;;Townsville
12;GoldCoast;-28.0023731;153.4145987;;Gold Coast
13;Cairns;-16.9206657;145.7721854;;Cairns
14;Launceston;-41.4340813;147.1373496;;Launceston
15;AliceSprings;-23.6983884;133.8812885;;Alice Springs
16;Bendigo;-36.7588767;144.2825931;;Bendigo
17;Albury;-36.0804766;146.9162795;;Albury
18;MountGinini;-35.533333;148.783333;;Mount Ginini
19;Wollongong;-34.4278083;150.893054;;Wollongong
20;Newcastle;-32.9192953;151.7795348;;Newcastle
21;Tuggeranong;-35.4209771;149.0921341;;Tuggeranong
22;Penrith;-33.7511954;150.6941711;;Penrith
23;Woomera;-31.1999142;136.8253532;;Woomera
24;Nuriootpa;-34.4693354;138.9939006;;Nuriootpa
25;Cobar;-31.4983333;145.8344444;;Cobar
26;CoffsHarbour;-30.2985996;153.1094116;;Coffs Harbour
27;Moree;-29.4617202;149.8407153;;Moree
28;Sale;-38.1050358;147.0647902;;Sale
29;PerthAirport;-31.933563;115.9600653;;Perth Airport
30;PearceRAAF;-31.6637374;116.0272659;;Bullsbrook
31;Witchcliffe;-34.0263348;115.1004768;;Witchcliffe
32;BadgerysCreek;-33.8816671;150.7441627;;Badgerys Creek
33;Mildura;-34.1847265;142.1624972;;Mildura
34;NorfolkIsland;-29.0289575;167.9587289126371;;Norfolk Island
35;MelbourneAirport;-37.6764488;144.8365383;;Melbourne Airport
36;Richmond;-37.8203955;145.0025153;;Richmond
37;SydneyAirport;;;;Sydney Airport
38;WaggaWagga;-35.115;147.3677778;;Wagga Wagga
39;Williamtown;-32.815;151.8427778;;Williamtown
40;Dartmoor;-27.996161999999998;115.18921814168053;;Dartmoor
41;Watsonia;-37.7097848;145.0832709;;Watsonia
42;Portland;-38.3456231;141.6042304;;Portland
43;Walpole;-34.9776796;116.7310063;;Walpole
44;NorahHead;-33.2816667;151.5677778;;Norah Head
45;SalmonGums;-32.9815347;121.6439417;;Salmon Gums
46;Katherine;-14.4646157;132.2635993;;Katherine
47;Nhil;-36.3331297;141.6492931;;Nhill
48;Uluru;-25.345;131.0363889;;Uluru
